x	y
0.00002	-14.2665
0.00003	-14.59973
0.00003	-14.84461
0.00004	-15.08592
0.00005	-15.32465
0.00005	-15.5522
0.00006	-15.78988
0.00008	-16.00626
0.00009	-16.22696
0.00012	-16.51492
0.00014	-16.72855
0.00016	-16.93924
0.0002	-17.2291
0.00025	-17.47186
0.00031	-17.71069
0.00037	-17.90252
0.00045	-18.10452
0.00054	-18.31705
0.00071	-18.58235
0.0009	-18.7978
0.00112	-19.01835
0.00139	-19.20149
0.0017	-19.368
0.00204	-19.52487
0.00253	-19.68741
0.00303	-19.78322
0.00393	-19.86553
0.00495	-19.91413
0.00671	-19.94739
0.0085	-19.94728
0.01182	-19.93485
0.01537	-19.9011
0.01997	-19.84887
0.02764	-19.79367
0.04203	-19.67769
0.05589	-19.56236
0.07616	-19.44593
0.11761	-19.27704
0.16554	-19.1229
0.2119	-19.0166
0.28808	-18.89312
0.45223	-18.70923
0.6359	-18.54962
0.83119	-18.43885
0.96954	-18.36352
0.96857	-18.36283
0.97163	-18.36344
