x	y
-4.69252	-14.2665
-4.58467	-14.59973
-4.50312	-14.84461
-4.4241	-15.08592
-4.34094	-15.32465
-4.2665	-15.5522
-4.18786	-15.78988
-4.10922	-16.00626
-4.03869	-16.22696
-3.93727	-16.51492
-3.8687	-16.72855
-3.79732	-16.93924
-3.69363	-17.2291
-3.5961	-17.47186
-3.51477	-17.71069
-3.43332	-17.90252
-3.35121	-18.10452
-3.26461	-18.31705
-3.147	-18.58235
-3.04631	-18.7978
-2.94904	-19.01835
-2.85792	-19.20149
-2.77028	-19.368
-2.69127	-19.52487
-2.59765	-19.68741
-2.5192	-19.78322
-2.40574	-19.86553
-2.30498	-19.91413
-2.17331	-19.94739
-2.07047	-19.94728
-1.92723	-19.93485
-1.81338	-19.9011
-1.69959	-19.84887
-1.5585	-19.79367
-1.37645	-19.67769
-1.25267	-19.56236
-1.11826	-19.44593
-0.92956	-19.27704
-0.78109	-19.1229
-0.67387	-19.0166
-0.54049	-18.89312
-0.34464	-18.70923
-0.19661	-18.54962
-0.0803	-18.43885
-0.01344	-18.36352
-0.01387	-18.36283
-0.0125	-18.36344
