x	y
-7.63862	4.39707
-7.3508	4.07628
-7.17441	4.12563
-7.04774	4.73531
-6.94817	4.47065
-6.8623	4.00089
-6.75115	4.53288
-6.69774	4.57693
-6.64247	3.78791
-6.57107	4.46423
-6.53101	4.48625
-6.49986	4.56456
-6.44017	3.98203
-6.37955	5.04742
-6.34126	4.35475
-6.32198	4.43795
-6.29352	4.16597
-6.26254	4.03427
-6.24552	4.33881
-6.2203	4.32413
-6.20447	3.84151
-6.185	4.44189
-6.12737	4.00913
-6.10512	4.27686
-6.07844	3.96167
-6.04559	4.20361
-6.01955	2.92608
-5.99911	4.36843
-5.98907	3.81043
-5.96245	4.03722
-5.95459	3.38812
-5.93298	4.11748
-5.9154	3.31909
-5.89554	4.2409
-5.86825	3.12934
-5.86188	3.69472
-5.845	3.43437
-5.82807	3.59161
-5.81699	2.50018
-5.80608	3.70817
-5.77492	3.5995
-5.77806	2.94166
-5.76253	3.43479
-5.72445	2.92562
-5.72454	3.20369
-5.69567	2.69905
-5.69572	3.07322
-5.57102	2.79396
-5.48288	2.60325
-5.31795	2.46093
-5.19744	2.34477
-5.08549	2.24648
-4.95844	2.11939
-4.83348	2.01691
-4.72544	1.91069
-4.54805	1.7793
-4.42941	1.65039
-4.24421	1.4942
-4.07116	1.30982
-3.90122	1.2028
-3.74737	1.14637
-3.54349	1.08227
-3.3298	1.03411
-3.15335	0.95412
-3.03599	0.81926
-2.87151	0.66839
-2.74267	0.52169
-2.63209	0.71873
-2.57901	0.81945
-2.51076	0.83413
-2.46531	0.70382
-2.45047	0.58536
-2.42683	0.45857
-2.40754	0.33377
-2.37211	0.17416
-2.34464	0.04611
