#31 AU
x	y
-4.99378	11.09627
-4.695	10.78092
-4.51722	10.68168
-4.38865	10.22914
-4.29358	9.99873
-4.21892	9.40396
-4.14651	9.46321
-4.08938	8.99143
-4.03643	9.10235
-3.98816	8.86104
-3.95184	9.04313
-3.91644	8.77865
-3.8765	8.99199
-3.84544	8.69725
-3.81578	8.94006
-3.78679	8.61372
-3.76214	8.74547
-3.73974	8.37453
-3.71487	8.5985
-3.69228	8.3011
-3.66921	8.49388
-3.65184	8.24133
-3.6277	8.42834
-3.6138	8.11395
-3.59492	8.41791
-3.5763	8.05441
-3.55866	8.23395
-3.54863	7.87078
-3.53067	8.04421
-3.51691	7.84819
-3.50107	8.0401
-3.48745	7.85278
-3.47348	8.10487
-3.45959	7.93662
-3.44661	8.24827
-3.42959	8.10167
-3.39555	8.0044
-3.36358	7.9576
-3.31738	7.85661
-3.27074	7.76635
-3.22879	7.69342
-3.19072	7.63345
-3.15253	7.71034
-3.133	7.76874
-3.11434	7.71859
-3.09518	7.60241
-3.08254	7.47532
-3.04809	7.40356
-3.00617	7.34339
-2.95539	7.27911
-2.91036	7.38432
-2.87864	7.4144
-2.85066	7.26731
-2.83076	7.19042
-2.80588	7.18374
-2.77106	7.31077
-2.73048	7.35079
-2.68341	7.33448
-2.6502	7.26271
-2.61624	7.12238
-2.58369	6.95538
